x,y,forested
1789,4747,0
4482,3084,1
1284,4218,1
3553,5991,0
5132,1144,1
4681,5519,1
4708,2088,0
7098,3448,0
3207,1662,1
1794,2697,1
3469,884,0
4016,7169,1
542,6173,1
4339,5939,1
1635,6668,0
5726,6483,0
4032,2001,1
2885,4434,1
826,4565,1
4424,3539,1
6060,6511,1
1868,4602,1
6595,2954,0
1506,517,1
5471,2031,1
2635,2880,1
3810,5094,1
4496,6398,1
4690,4951,1
6270,6898,1
1520,6617,0
4375,2044,1
5575,4889,1
1742,215,1
6278,5166,1
4245,2880,1
4773,1035,1
2397,758,1
1618,6357,1
5307,2342,1
5854,5897,0
3420,668,0
4738,5450,0
3763,6646,0
6420,4889,0
233,6292,0
2166,5217,1
2154,3821,1
6241,6292,1
3735,1959,1
5669,5876,1
2719,1603,0
2827,5324,0
5028,2476,1
3249,1534,1
5500,3884,1
6166,5263,0
6007,5793,0
4682,5523,1
786,4655,1
4827,1972,1
1404,5711,1
5220,6172,1
6497,6273,1
5256,1896,1
3554,5884,0
1027,2631,1
330,6098,1
1308,3051,1
2114,6230,1
5553,5716,0
5116,1170,1
5995,7615,1
5864,7562,1
1108,4242,1
3096,5202,0
5959,2482,1
6424,6056,1
4078,2009,1
3872,1074,1
4602,6563,0
613,5126,1
3413,5320,0
6164,2618,1
4631,2135,1
4567,6516,0
3350,2400,1
6212,2704,1
1554,5204,1
6059,3562,0
1705,3727,0
3263,6415,0
1892,5646,0
990,5849,0
1159,2534,1
2338,3692,0
3416,1119,1
4342,6590,0
5821,3387,0
5025,4617,1
5222,6958,1
3882,2408,1
2286,6010,0
3455,3878,1
3792,2775,1
3052,4051,1
7483,2484,1
2177,3767,1
1407,4453,1
3957,1422,1
7652,1629,0
669,4564,1
3119,6233,0
2782,2505,1
5752,5121,0
1986,5863,0
903,6165,1
1632,3650,1
2971,3016,1
3889,2899,1
5393,1901,1
4428,4314,1
5722,1397,1
2691,4235,0
1236,6431,1
4878,2784,1
1884,2649,1
6032,4452,1
1395,3090,1
5333,3669,1
3308,929,0
1384,3826,1
4799,3278,1
2060,4333,1
2699,6374,0
5650,1625,1
4131,1067,1
768,4539,1
2723,1819,1
2209,6278,1
1756,5390,1
4409,4241,1
1379,1898,1
5879,7013,1
1771,2701,1
4898,7512,1
1948,2938,1
4871,1518,1
590,5344,1
2105,2163,1
2058,6768,0
3980,2173,1
4987,6937,1
2621,1935,1
2591,1757,1
3888,3310,1
1603,5100,1
3382,4582,1
5132,2970,1
2589,4024,0
1103,2574,0
6411,3525,0
1079,3444,1
5395,3700,1
4263,2758,1
1222,4776,1
2737,4831,1
7422,1983,0
3417,2891,0
2602,1542,0
6000,3442,0
2302,3543,0
2776,6678,0
1861,2484,0
5389,3716,1
5484,6730,1
2973,5095,0
1915,4270,1
5523,2010,1
3538,2833,1
4139,6987,1
1919,998,0
2031,5822,0
4508,7037,1
4461,5470,1
5449,2851,1
6451,6260,0
1479,5738,1
2789,1732,1
1327,3506,0
