,x,y,forested,b01,b02,b03,b04,b05,b06,b07,b09,b10,b11
0,1789,4747,0,10062,9325,8827,8884,14913,14896,10807,5036,29050,25866
1,4482,3084,1,11765,11204,10995,10680,17490,14325,11503,5554,25783,23610
2,1284,4218,1,9555,8475,7718,6707,14613,8940,6854,5036,26225,24049
3,3553,5991,0,9836,8871,8445,7254,20886,12422,8417,5036,28035,25517
4,5132,1144,1,8720,7841,7039,6197,11423,7001,5843,5052,24961,23244
5,4681,5519,1,9510,8488,7932,6724,21750,11316,7482,5032,26044,23855
6,4708,2088,0,9999,9237,8999,8567,18702,12930,9209,5028,28954,26166
7,7098,3448,0,10449,9656,9637,9492,15728,14589,11027,5647,30517,26960
8,3207,1662,1,9356,8346,7947,6552,22517,10792,7042,5025,25617,23567
9,1794,2697,1,9526,8479,7984,6650,22551,11414,7442,5029,26662,24431
10,3469,884,0,9942,9020,8150,7429,16152,12997,9883,5040,28717,25897
11,4016,7169,1,9023,8043,7430,6388,13955,7927,6171,5027,25112,23442
12,542,6173,1,9780,8847,8699,7440,23764,11970,8055,5044,27205,24798
13,4339,5939,1,9281,8231,7458,6420,14544,8330,6341,5035,24485,22914
14,1635,6668,0,10376,9737,9413,9759,17554,16778,11791,5054,31082,27490
15,5726,6483,0,9209,8444,8364,7814,17580,12908,9213,5029,28346,25987
16,4032,2001,1,9052,8062,7238,6215,13319,7746,6050,5026,25817,23975
17,2885,4434,1,9556,8503,7786,6595,21562,12126,7747,5044,26346,24295
18,826,4565,1,9633,8583,7731,6549,19616,9094,6461,5038,25990,23864
19,4424,3539,1,8995,8016,7074,6245,12117,7023,5779,5032,26037,24019
20,6060,6511,1,8798,7937,7344,6598,13197,8401,6712,5043,28083,25925
21,1868,4602,1,9431,8372,7559,6426,18862,9161,6439,5040,26170,24031
22,6595,2954,0,9790,8960,8624,7981,16814,12111,9010,5359,27786,24891
23,1506,517,1,9690,8609,7828,6576,21717,9328,6581,5032,0,0
24,5471,2031,1,8579,7631,6771,5970,9683,6245,5454,5033,24931,23223
25,2635,2880,1,9498,8447,7649,6506,18104,8662,6251,5044,25953,23844
26,3810,5094,1,9601,8692,8170,7260,19361,12414,8459,5025,25851,24003
27,4496,6398,1,9225,8212,7469,6433,15416,8893,6513,5029,25417,23692
28,4690,4951,1,9038,8052,7419,6307,14755,7647,5922,5014,25786,23841
29,6270,6898,1,8864,7932,7216,6355,13387,7629,6155,5037,28074,25778
30,1520,6617,0,10636,10020,9988,10872,15217,17897,14624,5041,32367,28292
31,4375,2044,1,9300,8325,8007,6751,25570,12995,8109,5039,26720,24666
32,5575,4889,1,8991,7961,7186,6196,14559,7484,5839,5033,26448,24194
33,1742,215,1,9498,8477,7776,6508,19848,9095,6379,5033,25764,23748
34,6278,5166,1,9780,8942,8215,8045,14535,12758,9097,5057,28265,25393
35,4245,2880,1,8963,7983,7352,6240,18769,9632,6657,5034,25657,23831
36,4773,1035,1,9069,8197,7722,6678,16532,8995,6799,5036,26167,24283
37,2397,758,1,9626,8549,7878,6634,20583,10078,6976,5052,26970,24293
38,1618,6357,1,9606,8528,7613,6552,15697,8872,6478,5030,27746,25086
39,5307,2342,1,10164,9225,8441,7581,14602,8486,6866,5777,21767,20371
40,5854,5897,0,9600,8904,8569,8271,16973,14696,11001,5039,30538,27257
41,3420,668,0,9885,9054,8354,8167,14372,12841,9063,5039,28594,25498
42,4738,5450,0,9611,8611,7907,6969,17578,10619,7370,5133,26623,24180
43,3763,6646,0,9906,9049,8801,8259,17020,13959,10039,5044,27643,25349
44,6420,4889,0,9901,8954,8492,7689,21282,14830,9663,5201,31689,28492
45,233,6292,0,10590,9831,9351,9154,14714,15927,12026,5035,27841,25271
46,2166,5217,1,9454,8386,7689,6509,21340,9742,6701,5041,27258,24770
47,2154,3821,1,9528,8480,8167,6707,23020,11419,7177,5046,25866,23800
48,6241,6292,1,8827,7946,7385,6444,16570,8947,6635,5043,28122,25852
